event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n10_s2026_e1,10,2026,4,safety,AAI-CDOS,uav,ground1,150.0,62.295,31.513,11.325,0.0,19.458,True,62.295,0.007419,1,0,True,False,False,2966.867,6,4,1685,89,6093.066
n10_s2026_e1,10,2026,4,safety,Independent Agents,uav,ground1,150.0,62.295,31.513,11.325,0.0,19.458,True,62.295,0.007419,1,0,False,False,True,1643.743,3,3,990,61,3564.102
n10_s2026_e1,10,2026,4,safety,One-Shot LLM,ground,ground1,150.0,1946.666,1921.883,5.325,0.0,19.458,False,10464.865,1.246332,1,0,False,False,False,1006.955,0,1,576,21,1006.76
n10_s2026_e1,10,2026,4,safety,Single Domain,uav,uav2,150.0,686.426,31.513,6.325,0.0,648.588,False,10464.865,1.246332,1,0,False,False,False,838.863,1,1,268,20,838.714
n10_s2026_e2,10,2026,86,cooperative,AAI-CDOS,uav,ground1,350.0,151.43,39.386,13.363,75.62,23.061,True,151.43,0.017368,3,2,True,False,False,8013.598,14,12,6937,271,13924.518
n10_s2026_e2,10,2026,86,cooperative,Independent Agents,leo,sat0,350.0,164.383,59.053,27.567,76.611,1.153,True,164.383,0.018853,1,0,False,False,True,1106.498,3,3,1042,60,3059.448
n10_s2026_e2,10,2026,86,cooperative,One-Shot LLM,ground,ground1,350.0,454.379,348.335,7.363,75.62,23.061,False,10660.196,1.222643,1,0,False,False,False,1285.317,0,1,576,21,1285.12
n10_s2026_e2,10,2026,86,cooperative,Single Domain,leo,sat0,350.0,164.383,59.053,27.567,76.611,1.153,True,164.383,0.018853,1,0,False,False,False,1094.48,1,1,268,19,1094.309
n10_s2026_e3,10,2026,99,safety,AAI-CDOS,uav,ground1,150.0,79.043,45.058,11.827,0.0,22.158,True,79.043,1.016556,1,0,True,False,False,2159.495,6,4,1975,89,3906.786
n10_s2026_e3,10,2026,99,safety,Independent Agents,ground,ground0,150.0,3554.317,3430.105,5.827,96.227,22.158,False,10662.88,137.133175,1,0,False,False,True,1003.693,3,3,1089,60,2653.704
n10_s2026_e3,10,2026,99,safety,One-Shot LLM,ground,ground1,150.0,3458.09,3430.105,5.827,0.0,22.158,False,10662.88,137.133175,1,0,False,False,False,1189.925,0,1,575,21,1189.757
n10_s2026_e3,10,2026,99,safety,Single Domain,leo,sat0,150.0,90.629,19.85,26.031,43.641,1.108,True,90.629,1.165562,1,0,False,False,False,948.384,1,1,267,19,948.254
n10_s2026_e4,10,2026,101,routine,AAI-CDOS,leo,sat0,1000.0,143.532,25.964,24.488,92.098,0.981,True,143.532,1.866399,1,0,True,False,False,2877.485,6,4,2118,88,4497.079
n10_s2026_e4,10,2026,101,routine,Independent Agents,ground,ground0,1000.0,7111.509,7010.455,4.285,77.145,19.624,False,10517.868,136.76765,1,0,False,False,True,948.685,3,3,1136,62,2577.875
n10_s2026_e4,10,2026,101,routine,One-Shot LLM,ground,ground0,1000.0,7111.509,7010.455,4.285,77.145,19.624,False,10517.868,136.76765,1,0,False,False,False,1030.373,0,1,574,21,1030.19
n10_s2026_e4,10,2026,101,routine,Single Domain,leo,sat0,1000.0,143.532,25.964,24.488,92.098,0.981,True,143.532,1.866399,1,0,False,False,False,1058.057,1,1,266,19,1057.929
n10_s2026_e5,10,2026,117,cooperative,AAI-CDOS,leo,sat0,350.0,118.823,30.775,24.096,62.941,1.011,True,118.823,0.045591,1,0,True,False,False,2025.287,6,4,2255,88,3739.159
n10_s2026_e5,10,2026,117,cooperative,Independent Agents,leo,sat0,350.0,118.823,30.775,24.096,62.941,1.011,True,118.823,0.045591,1,0,False,False,True,1285.832,3,3,1182,60,3171.748
n10_s2026_e5,10,2026,117,cooperative,One-Shot LLM,ground,ground1,350.0,4339.305,4270.011,3.892,45.174,20.228,False,36625.934,14.053009,1,0,False,False,False,1331.147,0,1,575,21,1330.973
n10_s2026_e5,10,2026,117,cooperative,Single Domain,leo,sat0,350.0,118.823,30.775,24.096,62.941,1.011,True,118.823,0.045591,1,0,False,False,False,1421.059,1,1,267,19,1420.93
n10_s2026_e6,10,2026,166,routine,AAI-CDOS,leo,sat0,1000.0,154.155,70.629,26.076,56.453,0.996,True,154.155,1.429997,1,0,True,False,False,2331.056,6,4,2396,88,4213.182
n10_s2026_e6,10,2026,166,routine,Independent Agents,uav,ground1,1000.0,96.852,26.197,11.873,38.853,19.929,True,96.852,0.898434,1,0,False,False,True,2944.848,3,3,1231,61,4597.576
n10_s2026_e6,10,2026,166,routine,One-Shot LLM,ground,ground1,1000.0,7184.042,7119.387,5.873,38.853,19.929,False,10648.787,98.781987,1,0,False,False,False,1110.043,0,1,576,21,1109.843
n10_s2026_e6,10,2026,166,routine,Single Domain,uav,uav1,1000.0,697.376,26.197,6.873,0.0,664.306,True,697.376,6.469111,1,0,False,False,False,1295.844,1,1,268,20,1295.716
n10_s2027_e1,10,2027,11,safety,AAI-CDOS,leo,sat0,150.0,114.446,29.16,31.36,52.925,1.002,True,114.446,0.007962,1,0,True,False,False,2913.732,6,4,1679,88,5679.943
n10_s2027_e1,10,2027,11,safety,Independent Agents,ground,ground1,150.0,3133.409,3102.212,11.157,0.0,20.04,False,10406.759,0.723958,1,0,False,False,True,10054.738,3,3,986,60,18832.204
n10_s2027_e1,10,2027,11,safety,One-Shot LLM,ground,ground1,150.0,3133.409,3102.212,11.157,0.0,20.04,False,10406.759,0.723958,1,0,False,False,False,1993.389,0,1,574,21,1993.218
n10_s2027_e1,10,2027,11,safety,Single Domain,leo,sat0,150.0,114.446,29.16,31.36,52.925,1.002,True,114.446,0.007962,1,0,False,False,False,922.05,1,1,266,19,921.921
n10_s2027_e2,10,2027,19,routine,AAI-CDOS,leo,sat0,1000.0,167.127,44.11,26.424,95.596,0.998,True,167.127,0.013436,1,0,True,False,False,1960.504,6,4,1827,89,3601.688
n10_s2027_e2,10,2027,19,routine,Independent Agents,ground,ground0,1000.0,7239.587,7128.053,6.22,85.361,19.953,False,10402.559,0.83632,1,0,False,False,True,1037.093,3,3,1040,62,2838.765
n10_s2027_e2,10,2027,19,routine,One-Shot LLM,ground,ground1,1000.0,7244.023,7128.053,6.22,89.797,19.953,False,10402.559,0.83632,1,0,False,False,False,1035.145,0,1,575,21,1034.981
n10_s2027_e2,10,2027,19,routine,Single Domain,leo,sat0,1000.0,167.127,44.11,26.424,95.596,0.998,True,167.127,0.013436,1,0,False,False,False,999.115,1,1,267,19,998.987
n10_s2027_e3,10,2027,37,cooperative,AAI-CDOS,leo,sat0,350.0,124.778,17.427,31.544,74.863,0.945,True,124.778,0.10607,1,0,True,False,False,1897.588,6,4,1961,90,3426.393
n10_s2027_e3,10,2027,37,cooperative,Independent Agents,leo,sat0,350.0,124.778,17.427,31.544,74.863,0.945,True,124.778,0.10607,1,0,False,False,True,1073.052,3,3,1084,62,2808.984
n10_s2027_e3,10,2027,37,cooperative,One-Shot LLM,ground,ground0,350.0,421.556,275.339,11.34,115.974,18.902,False,10338.869,8.788754,1,0,False,False,False,922.086,0,1,574,21,921.924
n10_s2027_e3,10,2027,37,cooperative,Single Domain,leo,sat0,350.0,124.778,17.427,31.544,74.863,0.945,True,124.778,0.10607,1,0,False,False,False,850.461,1,1,266,19,850.337
