vehicles,scheme,events,deadline_success_rate,mean_dt_update_latency_ms,p95_dt_update_latency_ms,mean_dt_age_ms,p95_position_error_m,mean_decision_wall_ms,mean_rounds,mean_rejections,fallback_rate,proposal_conflict_rate,api_calls,input_tokens,output_tokens,estimated_standard_cost_usd
10,AAI-CDOS,24,1.0,121.46412500000001,227.66454999999988,121.46412500000001,1.8550211999999997,3074.7302916666667,1.25,0.2916666666666667,0.041666666666666664,0.0,120,63962,2683,0.186735
10,Independent Agents,24,0.5,2231.132208333333,7104.30225,5345.283875,129.0345373999999,1652.4694583333333,1.0,0.0,0.0,0.9583333333333334,72,26626,1473,0.081295
10,One-Shot LLM,24,0.08333333333333333,3666.7736666666665,7173.16205,11203.231916666666,137.07834624999998,1042.9880833333334,1.0,0.0,0.0,0.0,24,13794,504,0.039525
10,Single Domain,24,0.6666666666666666,392.65770833333323,794.20785,3683.286666666667,13.306165199999999,1076.1589166666665,1.0,0.0,0.0,0.0,24,6402,466,0.020665
25,AAI-CDOS,24,0.9166666666666666,229.23383333333334,777.5392999999999,1113.2082916666668,2.1758663,2907.4467916666667,1.2083333333333333,0.2916666666666667,0.08333333333333333,0.0,116,63745,2606,0.1854225
25,Independent Agents,24,0.6666666666666666,3584.7055416666662,16521.36649999999,4160.337791666666,115.33832429999973,1181.5429166666665,1.0,0.0,0.0,1.0,72,26643,1465,0.0812575
25,One-Shot LLM,24,0.125,7763.337916666667,19879.214799999994,9882.039125,149.43006855,1152.6665,1.0,0.0,0.0,0.0,24,13783,504,0.0394975
25,Single Domain,24,0.7083333333333334,446.69041666666664,793.94935,3394.6011249999997,14.164628199999994,930.9941249999998,1.0,0.0,0.0,0.0,24,6391,468,0.0206575
50,AAI-CDOS,24,0.75,285.07254166666667,616.4064,2920.067208333334,67.72739384999993,3696.964041666666,1.5416666666666667,0.7916666666666666,0.25,0.0,148,86223,3327,0.2488275
50,Independent Agents,24,0.4583333333333333,8080.685916666666,31845.243799999982,6016.213958333334,88.99723829999996,1304.1679166666665,1.0,0.0,0.0,1.0,72,26636,1463,0.08122
50,One-Shot LLM,24,0.125,14876.856,37112.41569999999,9514.300083333334,137.78007414999996,1220.838125,1.0,0.0,0.0,0.0,24,13783,504,0.0394975
50,Single Domain,24,0.5,515.04725,815.0396499999999,5629.114416666666,113.64779439999992,1147.9039583333333,1.0,0.0,0.0,0.0,24,6391,467,0.0206475
