scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine,condition_id,condition,condition_index
AAI-CDOS,25,2026,180,108,4500,0.9862222222222222,0.14688356465613667,0.2655232327987507,0.308647064340239,2.430321789408389,1.0275555555555556,0.027555555555555555,6.124,0.012485488899983466,849.8026666666667,87.34222222222222,0.9532608695652174,0.9915442812639075,1.0,nominal,Nominal,0
Single Domain,25,2026,180,108,4500,0.31466666666666665,1.4042660483588487,3.82867810892933,46.090386510057705,824.2862785015543,1.0,0.0,1.0,0.0019823777256533504,0.0,0.0,0.09021739130434783,0.3030707610146863,0.4891222805701425,nominal,Nominal,0
Independent Agents,25,2026,180,108,4500,0.7608888888888888,0.26626174543367864,0.3957878917367231,3.700198502047217,105.6736287538417,1.0,0.0,4.0,0.010414711341986226,0.0,0.0,0.09891304347826087,0.8900756564307967,1.0,nominal,Nominal,0
One-Shot LLM,25,2026,180,108,4500,0.7171111111111111,0.9938834149873821,6.0499542960636,4.8648216673853755,132.1814246512969,1.0,0.0,0.0,0.021714133495051,760.0,135.0,0.36630434782608695,0.7712505562972852,0.867966991747937,nominal,Nominal,0
AAI-CDOS,25,2027,180,193,4500,0.9695555555555555,0.17097854773016377,0.3205832777242821,0.5176903073160352,2.7311539103281612,1.0615555555555556,0.06155555555555556,6.277333333333333,0.012189133125098629,855.5826666666667,90.23222222222222,0.9063545150501672,0.9780662488809311,0.9970781592403214,nominal,Nominal,0
Single Domain,25,2027,180,193,4500,0.37844444444444447,1.153853028712463,3.4773113398157824,39.72892351531325,683.5053266045882,1.0,0.0,1.0,0.0020696446946304706,0.0,0.0,0.0802675585284281,0.3621307072515667,0.6004382761139518,nominal,Nominal,0
Independent Agents,25,2027,180,193,4500,0.7286666666666667,0.28255363005090844,0.4382222646312998,4.600565177301111,104.52555287688581,1.0,0.0,4.0,0.0149355333026809,0.0,0.0,0.09364548494983277,0.8173679498657117,1.0,nominal,Nominal,0
One-Shot LLM,25,2027,180,193,4500,0.624,1.5590063295451897,12.039206724475921,7.347270020321382,141.73857486687206,1.0,0.0,0.0,0.022937222325708717,760.0,135.0,0.2653288740245262,0.666965085049239,0.7888970051132214,nominal,Nominal,0
AAI-CDOS,25,2028,180,62,4500,0.9604444444444444,0.18109621462675246,0.33908825184365854,0.6161418600672134,3.31651922424585,1.0797777777777777,0.07977777777777778,6.359333333333334,0.01386506652407762,858.6804444444444,91.78111111111112,0.8767441860465116,0.9705494505494505,0.9963369963369964,nominal,Nominal,0
Single Domain,25,2028,180,62,4500,0.442,1.032580821630269,3.5239041617023026,31.212670093602714,571.1275177861335,1.0,0.0,1.0,0.00227179972635996,0.0,0.0,0.1,0.432967032967033,0.6725274725274726,nominal,Nominal,0
Independent Agents,25,2028,180,62,4500,0.7215555555555555,0.2886881707422782,0.4706765715611978,4.784486591171325,128.50725516024775,1.0,0.0,4.0,0.01253540009363658,0.0,0.0,0.08837209302325581,0.7942857142857143,0.9992673992673993,nominal,Nominal,0
One-Shot LLM,25,2028,180,62,4500,0.6171111111111112,1.7672711221218476,12.434082689627273,7.865833215928499,183.62394684777325,1.0,0.0,0.0,0.02531937780764161,760.0,135.0,0.2569767441860465,0.6685714285714286,0.7582417582417582,nominal,Nominal,0
AAI-CDOS,25,2029,180,205,4500,0.9731111111111111,0.16779139960059503,0.3160374493012577,0.4733038808687747,2.743851717763079,1.0542222222222222,0.05422222222222222,6.244222222222223,0.013588933494045503,854.336,89.60888888888888,0.9193899782135077,0.9804791481810116,0.9977409638554217,nominal,Nominal,0
Single Domain,25,2029,180,205,4500,0.3437777777777778,1.3039068337339614,3.7187418307677422,39.14813920513582,705.4856906776048,1.0,0.0,1.0,0.0021954665943566295,0.0,0.0,0.07952069716775599,0.3181011535048802,0.5700301204819277,nominal,Nominal,0
Independent Agents,25,2029,180,205,4500,0.7177777777777777,0.28262768251010617,0.43744468259911984,4.696690648760488,118.73455357822164,1.0,0.0,4.0,0.00937257789256465,0.0,0.0,0.06862745098039216,0.8158828748890861,1.0,nominal,Nominal,0
One-Shot LLM,25,2029,180,205,4500,0.6464444444444445,1.3619818008580047,11.383415402089058,6.593573534253089,158.79628268158547,1.0,0.0,0.0,0.02258257787131394,760.0,135.0,0.2777777777777778,0.6881100266193434,0.8305722891566265,nominal,Nominal,0
AAI-CDOS,25,2030,180,18,4500,0.9566666666666667,0.19313818386716347,0.3544489514068529,0.6718124245345205,3.5085603682421516,1.0866666666666667,0.08666666666666667,6.39,0.013200555604675578,859.8515555555556,92.36666666666666,0.8599537037037037,0.96875,0.997134670487106,nominal,Nominal,0
Single Domain,25,2030,180,18,4500,0.46644444444444444,0.930353536006616,3.0664589755858453,26.553230236445174,479.5316474484259,1.0,0.0,1.0,0.002098222204949707,0.0,0.0,0.09027777777777778,0.4799107142857143,0.6776504297994269,nominal,Nominal,0
Independent Agents,25,2030,180,18,4500,0.7097777777777777,0.2931485818737906,0.4744968135892897,5.101967007924954,112.60976908696443,1.0,0.0,4.0,0.010328066593501717,0.0,0.0,0.09606481481481481,0.7660714285714286,0.9992836676217765,nominal,Nominal,0
One-Shot LLM,25,2030,180,18,4500,0.5491111111111111,2.1083677064767534,13.019110005875246,10.023760409967181,205.13954877237666,1.0,0.0,0.0,0.023976488705051854,760.0,135.0,0.20601851851851852,0.5803571428571429,0.7113180515759312,nominal,Nominal,0
AAI-CDOS,25,2031,180,68,4500,0.9826666666666667,0.15304130782745573,0.2706306256631051,0.3312017188893753,2.516771491831109,1.0346666666666666,0.034666666666666665,6.156,0.014144688605382625,851.0115555555556,87.94666666666667,0.936542669584245,0.9925340360122968,0.9977081741787625,nominal,Nominal,0
