scheme,vehicles,seed,access,compute,count,share,condition_id,condition,condition_index
AAI-CDOS,25,2026,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
AAI-CDOS,25,2026,ground,sat,11,0.0024444444444444444,nominal,Nominal,0
AAI-CDOS,25,2026,leo,ground,268,0.059555555555555556,nominal,Nominal,0
AAI-CDOS,25,2026,leo,ground,240,0.05333333333333334,nominal,Nominal,0
AAI-CDOS,25,2026,leo,sat,880,0.19555555555555557,nominal,Nominal,0
AAI-CDOS,25,2026,uav,ground,589,0.1308888888888889,nominal,Nominal,0
AAI-CDOS,25,2026,uav,ground,556,0.12355555555555556,nominal,Nominal,0
AAI-CDOS,25,2026,uav,sat,1954,0.43422222222222223,nominal,Nominal,0
Single Domain,25,2026,ground,ground,5,0.0011111111111111111,nominal,Nominal,0
Single Domain,25,2026,ground,ground,10,0.0022222222222222222,nominal,Nominal,0
Single Domain,25,2026,leo,sat,1388,0.30844444444444447,nominal,Nominal,0
Single Domain,25,2026,uav,uav,654,0.14533333333333334,nominal,Nominal,0
Single Domain,25,2026,uav,uav,602,0.13377777777777777,nominal,Nominal,0
Single Domain,25,2026,uav,uav,626,0.1391111111111111,nominal,Nominal,0
Single Domain,25,2026,uav,uav,593,0.13177777777777777,nominal,Nominal,0
Single Domain,25,2026,uav,uav,622,0.13822222222222222,nominal,Nominal,0
Independent Agents,25,2026,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2026,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2026,ground,sat,11,0.0024444444444444444,nominal,Nominal,0
Independent Agents,25,2026,leo,ground,201,0.04466666666666667,nominal,Nominal,0
Independent Agents,25,2026,leo,ground,190,0.042222222222222223,nominal,Nominal,0
Independent Agents,25,2026,leo,sat,997,0.22155555555555556,nominal,Nominal,0
Independent Agents,25,2026,uav,ground,441,0.098,nominal,Nominal,0
Independent Agents,25,2026,uav,ground,487,0.10822222222222222,nominal,Nominal,0
Independent Agents,25,2026,uav,sat,2169,0.482,nominal,Nominal,0
One-Shot LLM,25,2026,ground,ground,57,0.012666666666666666,nominal,Nominal,0
One-Shot LLM,25,2026,ground,ground,62,0.013777777777777778,nominal,Nominal,0
One-Shot LLM,25,2026,ground,sat,49,0.010888888888888889,nominal,Nominal,0
One-Shot LLM,25,2026,leo,sat,1178,0.2617777777777778,nominal,Nominal,0
One-Shot LLM,25,2026,uav,ground,859,0.19088888888888889,nominal,Nominal,0
One-Shot LLM,25,2026,uav,ground,900,0.2,nominal,Nominal,0
One-Shot LLM,25,2026,uav,sat,1353,0.3006666666666667,nominal,Nominal,0
One-Shot LLM,25,2026,uav,uav,10,0.0022222222222222222,nominal,Nominal,0
One-Shot LLM,25,2026,uav,uav,4,0.0008888888888888889,nominal,Nominal,0
One-Shot LLM,25,2026,uav,uav,11,0.0024444444444444444,nominal,Nominal,0
One-Shot LLM,25,2026,uav,uav,7,0.0015555555555555555,nominal,Nominal,0
One-Shot LLM,25,2026,uav,uav,10,0.0022222222222222222,nominal,Nominal,0
AAI-CDOS,25,2027,ground,ground,6,0.0013333333333333333,nominal,Nominal,0
AAI-CDOS,25,2027,ground,ground,6,0.0013333333333333333,nominal,Nominal,0
AAI-CDOS,25,2027,ground,sat,14,0.003111111111111111,nominal,Nominal,0
AAI-CDOS,25,2027,leo,ground,360,0.08,nominal,Nominal,0
AAI-CDOS,25,2027,leo,ground,347,0.07711111111111112,nominal,Nominal,0
AAI-CDOS,25,2027,leo,sat,1071,0.238,nominal,Nominal,0
AAI-CDOS,25,2027,uav,ground,586,0.1302222222222222,nominal,Nominal,0
AAI-CDOS,25,2027,uav,ground,586,0.1302222222222222,nominal,Nominal,0
AAI-CDOS,25,2027,uav,sat,1524,0.33866666666666667,nominal,Nominal,0
Single Domain,25,2027,ground,ground,4,0.0008888888888888889,nominal,Nominal,0
Single Domain,25,2027,ground,ground,21,0.004666666666666667,nominal,Nominal,0
Single Domain,25,2027,leo,sat,1791,0.398,nominal,Nominal,0
Single Domain,25,2027,uav,uav,531,0.118,nominal,Nominal,0
Single Domain,25,2027,uav,uav,547,0.12155555555555556,nominal,Nominal,0
Single Domain,25,2027,uav,uav,532,0.11822222222222223,nominal,Nominal,0
Single Domain,25,2027,uav,uav,531,0.118,nominal,Nominal,0
Single Domain,25,2027,uav,uav,543,0.12066666666666667,nominal,Nominal,0
Independent Agents,25,2027,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2027,ground,ground,7,0.0015555555555555555,nominal,Nominal,0
Independent Agents,25,2027,ground,sat,16,0.0035555555555555557,nominal,Nominal,0
Independent Agents,25,2027,leo,ground,277,0.06155555555555556,nominal,Nominal,0
Independent Agents,25,2027,leo,ground,284,0.06311111111111112,nominal,Nominal,0
Independent Agents,25,2027,leo,sat,1230,0.2733333333333333,nominal,Nominal,0
Independent Agents,25,2027,uav,ground,548,0.12177777777777778,nominal,Nominal,0
Independent Agents,25,2027,uav,ground,528,0.11733333333333333,nominal,Nominal,0
Independent Agents,25,2027,uav,sat,1608,0.35733333333333334,nominal,Nominal,0
One-Shot LLM,25,2027,ground,ground,58,0.012888888888888889,nominal,Nominal,0
One-Shot LLM,25,2027,ground,ground,62,0.013777777777777778,nominal,Nominal,0
One-Shot LLM,25,2027,ground,sat,55,0.012222222222222223,nominal,Nominal,0
One-Shot LLM,25,2027,leo,sat,1474,0.32755555555555554,nominal,Nominal,0
One-Shot LLM,25,2027,uav,ground,800,0.17777777777777778,nominal,Nominal,0
One-Shot LLM,25,2027,uav,ground,821,0.18244444444444444,nominal,Nominal,0
One-Shot LLM,25,2027,uav,sat,1189,0.26422222222222225,nominal,Nominal,0
One-Shot LLM,25,2027,uav,uav,6,0.0013333333333333333,nominal,Nominal,0
One-Shot LLM,25,2027,uav,uav,9,0.002,nominal,Nominal,0
One-Shot LLM,25,2027,uav,uav,6,0.0013333333333333333,nominal,Nominal,0
One-Shot LLM,25,2027,uav,uav,11,0.0024444444444444444,nominal,Nominal,0
One-Shot LLM,25,2027,uav,uav,9,0.002,nominal,Nominal,0
AAI-CDOS,25,2028,ground,ground,6,0.0013333333333333333,nominal,Nominal,0
AAI-CDOS,25,2028,ground,ground,6,0.0013333333333333333,nominal,Nominal,0
AAI-CDOS,25,2028,ground,sat,7,0.0015555555555555555,nominal,Nominal,0
AAI-CDOS,25,2028,leo,ground,431,0.09577777777777778,nominal,Nominal,0
AAI-CDOS,25,2028,leo,ground,418,0.09288888888888888,nominal,Nominal,0
AAI-CDOS,25,2028,leo,sat,1364,0.3031111111111111,nominal,Nominal,0
AAI-CDOS,25,2028,uav,ground,476,0.10577777777777778,nominal,Nominal,0
AAI-CDOS,25,2028,uav,ground,452,0.10044444444444445,nominal,Nominal,0
AAI-CDOS,25,2028,uav,sat,1340,0.29777777777777775,nominal,Nominal,0
Single Domain,25,2028,ground,ground,3,0.0006666666666666666,nominal,Nominal,0
Single Domain,25,2028,ground,ground,13,0.0028888888888888888,nominal,Nominal,0
Single Domain,25,2028,leo,sat,2254,0.5008888888888889,nominal,Nominal,0
Single Domain,25,2028,uav,uav,446,0.09911111111111111,nominal,Nominal,0
Single Domain,25,2028,uav,uav,466,0.10355555555555555,nominal,Nominal,0
Single Domain,25,2028,uav,uav,437,0.0971111111111111,nominal,Nominal,0
Single Domain,25,2028,uav,uav,422,0.09377777777777778,nominal,Nominal,0
Single Domain,25,2028,uav,uav,459,0.102,nominal,Nominal,0
Independent Agents,25,2028,ground,ground,1,0.00022222222222222223,nominal,Nominal,0
Independent Agents,25,2028,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2028,ground,sat,13,0.0028888888888888888,nominal,Nominal,0
Independent Agents,25,2028,leo,ground,393,0.08733333333333333,nominal,Nominal,0
Independent Agents,25,2028,leo,ground,384,0.08533333333333333,nominal,Nominal,0
Independent Agents,25,2028,leo,sat,1477,0.32822222222222225,nominal,Nominal,0
Independent Agents,25,2028,uav,ground,364,0.08088888888888889,nominal,Nominal,0
Independent Agents,25,2028,uav,ground,398,0.08844444444444445,nominal,Nominal,0
Independent Agents,25,2028,uav,sat,1468,0.32622222222222225,nominal,Nominal,0
One-Shot LLM,25,2028,ground,ground,52,0.011555555555555555,nominal,Nominal,0
One-Shot LLM,25,2028,ground,ground,61,0.013555555555555555,nominal,Nominal,0
One-Shot LLM,25,2028,ground,sat,48,0.010666666666666666,nominal,Nominal,0
One-Shot LLM,25,2028,leo,sat,1876,0.41688888888888886,nominal,Nominal,0
One-Shot LLM,25,2028,uav,ground,666,0.148,nominal,Nominal,0
One-Shot LLM,25,2028,uav,ground,706,0.15688888888888888,nominal,Nominal,0
One-Shot LLM,25,2028,uav,sat,1049,0.2331111111111111,nominal,Nominal,0
One-Shot LLM,25,2028,uav,uav,9,0.002,nominal,Nominal,0
One-Shot LLM,25,2028,uav,uav,8,0.0017777777777777779,nominal,Nominal,0
One-Shot LLM,25,2028,uav,uav,6,0.0013333333333333333,nominal,Nominal,0
One-Shot LLM,25,2028,uav,uav,10,0.0022222222222222222,nominal,Nominal,0
One-Shot LLM,25,2028,uav,uav,9,0.002,nominal,Nominal,0
AAI-CDOS,25,2029,ground,ground,9,0.002,nominal,Nominal,0
AAI-CDOS,25,2029,ground,ground,9,0.002,nominal,Nominal,0
AAI-CDOS,25,2029,ground,sat,12,0.0026666666666666666,nominal,Nominal,0
AAI-CDOS,25,2029,leo,ground,344,0.07644444444444444,nominal,Nominal,0
AAI-CDOS,25,2029,leo,ground,336,0.07466666666666667,nominal,Nominal,0
AAI-CDOS,25,2029,leo,sat,938,0.20844444444444443,nominal,Nominal,0
AAI-CDOS,25,2029,uav,ground,608,0.1351111111111111,nominal,Nominal,0
AAI-CDOS,25,2029,uav,ground,585,0.13,nominal,Nominal,0
AAI-CDOS,25,2029,uav,sat,1659,0.36866666666666664,nominal,Nominal,0
Single Domain,25,2029,ground,ground,7,0.0015555555555555555,nominal,Nominal,0
Single Domain,25,2029,ground,ground,19,0.004222222222222222,nominal,Nominal,0
Single Domain,25,2029,leo,sat,1622,0.36044444444444446,nominal,Nominal,0
Single Domain,25,2029,uav,uav,575,0.12777777777777777,nominal,Nominal,0
Single Domain,25,2029,uav,uav,585,0.13,nominal,Nominal,0
Single Domain,25,2029,uav,uav,588,0.13066666666666665,nominal,Nominal,0
Single Domain,25,2029,uav,uav,545,0.12111111111111111,nominal,Nominal,0
Single Domain,25,2029,uav,uav,559,0.12422222222222222,nominal,Nominal,0
Independent Agents,25,2029,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2029,ground,ground,2,0.00044444444444444447,nominal,Nominal,0
Independent Agents,25,2029,ground,sat,22,0.004888888888888889,nominal,Nominal,0
Independent Agents,25,2029,leo,ground,270,0.06,nominal,Nominal,0
Independent Agents,25,2029,leo,ground,280,0.06222222222222222,nominal,Nominal,0
Independent Agents,25,2029,leo,sat,1072,0.23822222222222222,nominal,Nominal,0
Independent Agents,25,2029,uav,ground,436,0.09688888888888889,nominal,Nominal,0
Independent Agents,25,2029,uav,ground,353,0.07844444444444444,nominal,Nominal,0
Independent Agents,25,2029,uav,sat,2063,0.45844444444444443,nominal,Nominal,0
One-Shot LLM,25,2029,ground,ground,60,0.013333333333333334,nominal,Nominal,0
One-Shot LLM,25,2029,ground,ground,57,0.012666666666666666,nominal,Nominal,0
One-Shot LLM,25,2029,ground,sat,69,0.015333333333333332,nominal,Nominal,0
One-Shot LLM,25,2029,leo,sat,1361,0.30244444444444446,nominal,Nominal,0
One-Shot LLM,25,2029,uav,ground,876,0.19466666666666665,nominal,Nominal,0
One-Shot LLM,25,2029,uav,ground,764,0.16977777777777778,nominal,Nominal,0
One-Shot LLM,25,2029,uav,sat,1274,0.2831111111111111,nominal,Nominal,0
One-Shot LLM,25,2029,uav,uav,3,0.0006666666666666666,nominal,Nominal,0
One-Shot LLM,25,2029,uav,uav,12,0.0026666666666666666,nominal,Nominal,0
One-Shot LLM,25,2029,uav,uav,9,0.002,nominal,Nominal,0
