scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
AAI-CDOS,10,2026,180,72,1800,0.9922222222222222,0.10615038559137424,0.19437027609519622,0.18642458485857263,1.4806541839470968,1.0155555555555555,0.015555555555555555,6.07,0.010228529313786162,846.44,86.32222222222222,0.9689922480620154,0.9978070175438597,1.0
Single Domain,10,2026,180,72,1800,0.5155555555555555,0.6853966126376364,2.1684378351496068,15.532944862372103,317.16055652348507,1.0,0.0,1.0,0.0016180995023912853,0.0,0.0,0.2868217054263566,0.47039473684210525,0.7744510978043913
Independent Agents,10,2026,180,72,1800,0.8333333333333334,0.2107149769862462,0.3283721281624496,2.49533841743351,68.11571858237158,1.0,0.0,4.0,0.00783068412500951,0.0,0.0,0.3023255813953488,0.9671052631578947,1.0
One-Shot LLM,10,2026,180,72,1800,0.8672222222222222,0.33594650845401697,0.8789930278502714,1.8559011448645166,50.399065484005746,1.0,0.0,0.0,0.018458900093618367,760.0,135.0,0.6459948320413437,0.9133771929824561,0.9540918163672655
AAI-CDOS,10,2027,180,21,1800,0.9877777777777778,0.11587144274170896,0.21380182636519193,0.2417592515470452,1.6461693037407588,1.0244444444444445,0.024444444444444446,6.11,0.009828714343408743,847.9511111111111,87.07777777777778,0.9435483870967742,0.9988558352402745,1.0
Single Domain,10,2027,180,21,1800,0.6083333333333333,0.5558224286500548,1.7462506502868074,10.344058987115663,179.9056082841541,1.0,0.0,1.0,0.0015636714589264658,0.0,0.0,0.3736559139784946,0.5572082379862701,0.8465703971119134
Independent Agents,10,2027,180,21,1800,0.8205555555555556,0.21175555104760874,0.3463885645149967,2.7534144192779,41.11239234788894,1.0,0.0,4.0,0.0076878114810420405,0.0,0.0,0.260752688172043,0.9450800915331807,1.0
One-Shot LLM,10,2027,180,21,1800,0.8294444444444444,0.490077483506223,4.73458092437218,2.3259988223196317,38.51059558420509,1.0,0.0,0.0,0.01852375144759814,760.0,135.0,0.5645161290322581,0.879862700228833,0.927797833935018
AAI-CDOS,10,2028,180,17,1800,0.9922222222222222,0.11142951948924965,0.19605165323126353,0.191316892846852,1.4350136243231857,1.0155555555555555,0.015555555555555555,6.07,0.00979406474572089,846.44,86.32222222222222,0.96,1.0,1.0
Single Domain,10,2028,180,17,1800,0.5794444444444444,0.5679098959949946,1.606131960908305,11.856762198378634,199.71817372246676,1.0,0.0,1.0,0.001576299416936106,0.0,0.0,0.3657142857142857,0.51165371809101,0.8269581056466302
Independent Agents,10,2028,180,17,1800,0.8444444444444444,0.20812237427247093,0.3287730389082187,2.237778289997239,48.68905853447506,1.0,0.0,4.0,0.007652476326458984,0.0,0.0,0.2742857142857143,0.9711431742508324,1.0
