scheme,vehicles,seed,access,compute,count,share
AAI-CDOS,10,2026,ground,ground,5,0.002777777777777778
AAI-CDOS,10,2026,ground,ground,4,0.0022222222222222222
AAI-CDOS,10,2026,ground,sat,12,0.006666666666666667
AAI-CDOS,10,2026,leo,ground,183,0.10166666666666667
AAI-CDOS,10,2026,leo,ground,182,0.10111111111111111
AAI-CDOS,10,2026,leo,sat,421,0.2338888888888889
AAI-CDOS,10,2026,uav,ground,215,0.11944444444444445
AAI-CDOS,10,2026,uav,ground,228,0.12666666666666668
AAI-CDOS,10,2026,uav,sat,550,0.3055555555555556
Single Domain,10,2026,ground,ground,22,0.012222222222222223
Single Domain,10,2026,leo,sat,796,0.44222222222222224
Single Domain,10,2026,uav,uav,211,0.11722222222222223
Single Domain,10,2026,uav,uav,187,0.10388888888888889
Single Domain,10,2026,uav,uav,202,0.11222222222222222
Single Domain,10,2026,uav,uav,181,0.10055555555555555
Single Domain,10,2026,uav,uav,201,0.11166666666666666
Independent Agents,10,2026,ground,ground,3,0.0016666666666666668
Independent Agents,10,2026,ground,ground,5,0.002777777777777778
Independent Agents,10,2026,ground,sat,14,0.0077777777777777776
Independent Agents,10,2026,leo,ground,148,0.08222222222222222
Independent Agents,10,2026,leo,ground,147,0.08166666666666667
Independent Agents,10,2026,leo,sat,501,0.2783333333333333
Independent Agents,10,2026,uav,ground,180,0.1
Independent Agents,10,2026,uav,ground,180,0.1
Independent Agents,10,2026,uav,sat,622,0.34555555555555556
One-Shot LLM,10,2026,ground,ground,40,0.022222222222222223
One-Shot LLM,10,2026,ground,ground,31,0.017222222222222222
One-Shot LLM,10,2026,ground,sat,33,0.018333333333333333
One-Shot LLM,10,2026,leo,sat,636,0.35333333333333333
One-Shot LLM,10,2026,uav,ground,283,0.15722222222222224
One-Shot LLM,10,2026,uav,ground,276,0.15333333333333332
One-Shot LLM,10,2026,uav,sat,474,0.2633333333333333
One-Shot LLM,10,2026,uav,uav,8,0.0044444444444444444
One-Shot LLM,10,2026,uav,uav,2,0.0011111111111111111
One-Shot LLM,10,2026,uav,uav,9,0.005
One-Shot LLM,10,2026,uav,uav,2,0.0011111111111111111
One-Shot LLM,10,2026,uav,uav,6,0.0033333333333333335
AAI-CDOS,10,2027,ground,ground,2,0.0011111111111111111
AAI-CDOS,10,2027,ground,ground,2,0.0011111111111111111
AAI-CDOS,10,2027,ground,sat,4,0.0022222222222222222
AAI-CDOS,10,2027,leo,ground,248,0.13777777777777778
AAI-CDOS,10,2027,leo,ground,255,0.14166666666666666
AAI-CDOS,10,2027,leo,sat,519,0.28833333333333333
AAI-CDOS,10,2027,uav,ground,195,0.10833333333333334
AAI-CDOS,10,2027,uav,ground,184,0.10222222222222223
AAI-CDOS,10,2027,uav,sat,391,0.21722222222222223
Single Domain,10,2027,ground,ground,7,0.0038888888888888888
Single Domain,10,2027,leo,sat,1031,0.5727777777777778
Single Domain,10,2027,uav,uav,147,0.08166666666666667
Single Domain,10,2027,uav,uav,175,0.09722222222222222
Single Domain,10,2027,uav,uav,137,0.07611111111111112
Single Domain,10,2027,uav,uav,146,0.0811111111111111
Single Domain,10,2027,uav,uav,157,0.08722222222222223
Independent Agents,10,2027,ground,ground,4,0.0022222222222222222
Independent Agents,10,2027,ground,sat,3,0.0016666666666666668
Independent Agents,10,2027,leo,ground,195,0.10833333333333334
Independent Agents,10,2027,leo,ground,205,0.11388888888888889
Independent Agents,10,2027,leo,sat,631,0.35055555555555556
Independent Agents,10,2027,uav,ground,144,0.08
Independent Agents,10,2027,uav,ground,145,0.08055555555555556
Independent Agents,10,2027,uav,sat,473,0.2627777777777778
One-Shot LLM,10,2027,ground,ground,28,0.015555555555555555
One-Shot LLM,10,2027,ground,ground,14,0.0077777777777777776
One-Shot LLM,10,2027,ground,sat,27,0.015
One-Shot LLM,10,2027,leo,sat,866,0.4811111111111111
One-Shot LLM,10,2027,uav,ground,230,0.12777777777777777
One-Shot LLM,10,2027,uav,ground,266,0.14777777777777779
One-Shot LLM,10,2027,uav,sat,361,0.20055555555555554
One-Shot LLM,10,2027,uav,uav,4,0.0022222222222222222
One-Shot LLM,10,2027,uav,uav,2,0.0011111111111111111
One-Shot LLM,10,2027,uav,uav,2,0.0011111111111111111
AAI-CDOS,10,2028,ground,ground,8,0.0044444444444444444
AAI-CDOS,10,2028,ground,ground,7,0.0038888888888888888
