scheme,vehicles,runs,deadline_success_mean,deadline_success_sd,deadline_success_ci95,mean_latency_s_mean,mean_latency_s_sd,mean_latency_s_ci95,p95_latency_s_mean,p95_latency_s_sd,p95_latency_s_ci95,mean_dt_age_s_mean,mean_dt_age_s_sd,mean_dt_age_s_ci95,p95_position_error_m_mean,p95_position_error_m_sd,p95_position_error_m_ci95,mean_rounds_mean,mean_rounds_sd,mean_rounds_ci95,mean_rejections_mean,mean_rejections_sd,mean_rejections_ci95,mean_tool_calls_mean,mean_tool_calls_sd,mean_tool_calls_ci95,mean_planner_ms_proxy_mean,mean_planner_ms_proxy_sd,mean_planner_ms_proxy_ci95,mean_input_tokens_proxy_mean,mean_input_tokens_proxy_sd,mean_input_tokens_proxy_ci95,mean_output_tokens_proxy_mean,mean_output_tokens_proxy_sd,mean_output_tokens_proxy_ci95,deadline_success_safety_mean,deadline_success_safety_sd,deadline_success_safety_ci95,deadline_success_cooperative_mean,deadline_success_cooperative_sd,deadline_success_cooperative_ci95,deadline_success_routine_mean,deadline_success_routine_sd,deadline_success_routine_ci95
AAI-CDOS,10,30,0.9917037037037038,0.0031995281332244056,0.0011449364382004087,0.10434652608467729,0.007960419697481852,0.00284859960453925,0.1927561545230826,0.018898196868530545,0.006762632897764212,0.1931160462363907,0.04128804568348985,0.014774737397752116,1.5287695143404485,0.19160645244477953,0.06856548842946379,1.0166111111111111,0.00638676459769691,0.00228547435922755,0.01661111111111106,0.006386764597696878,0.0022854743592275384,6.074759259259259,0.028734735831060444,0.010282593159100857,0.009816630950404491,9.115472605197225e-05,3.261929979215443e-05,846.6194444444444,1.08574998160848,0.3885306410686853,86.41194444444442,0.5428749908042346,0.19426532053434073,0.9608208183725282,0.01430228128362788,0.005118005627446929,0.9992201474288254,0.0011728363914125716,0.00041969411258855417,1.0,0.0,0.0
Single Domain,10,30,0.5240740740740741,0.059803376801205975,0.021400363546147747,0.6814183239525066,0.09653812457527279,0.03454572421289222,2.0368704362202696,0.2580239675827406,0.09233269098240518,17.994585438465815,6.336348589857932,2.26743322252241,312.8197292422923,118.4959261366506,42.403222588772884,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00165608288996192,0.00025990681704942087,9.300646001092627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3196761070443609,0.04001659820882913,0.014319755762216406,0.4552682740318447,0.08015059964542956,0.02868152372993333,0.7746743289727295,0.04953367298810313,0.01772539723375669
Independent Agents,10,30,0.8391666666666668,0.010273764360845936,0.0036764193607396033,0.2053975300579059,0.0027396170900805326,0.0009803593850536633,0.3225416855836494,0.017216264754517912,0.00616076122052666,2.329336654625149,0.1709236334301765,0.06116423669842849,57.26474031313679,15.556304057920299,5.566751914035638,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.007676494325062696,5.5418687749768536e-05,1.9831322720083848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.279512880174139,0.025075613929818507,0.008973193203199543,0.9689909859202582,0.01285912883596335,0.00460158015643722,1.0,0.0,0.0
One-Shot LLM,10,30,0.8642222222222222,0.0230684656648664,0.008254944420964748,0.40593013164126274,0.06343483113512192,0.02269986279023505,3.1671841023920715,1.667861362206393,0.596836523369534,1.8585227838742548,0.36192221171709726,0.12951220015414827,42.45039187106847,18.606318473988654,6.658185555681408,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01845079677662359,0.00025263973208982055,9.040596705593559e-05,760.0,0.0,0.0,135.0,0.0,0.0,0.6572760120700317,0.0652831957263238,0.0233612915645505,0.9028313503632791,0.01689919940025961,0.006047300840662643,0.9394327120851581,0.016943929579219398,0.006063307329634087
AAI-CDOS,25,30,0.9727777777777777,0.010430454476554881,0.003732490198535367,0.16668809209354457,0.01412744692256552,0.005055441954838103,0.30639237083887816,0.03257593836988449,0.011657149834361419,0.4677581078719775,0.13132202848004318,0.0469929843666256,2.7836028620329265,0.5220358375033266,0.1868081252974266,1.0547555555555557,0.020968918188899753,0.007503631005713302,0.054755555555555495,0.020968918188899774,0.007503631005713309,6.246555555555556,0.09441500104489416,0.033785974214919405,0.010217946039995606,0.00014550072122201444,5.206676440242439e-05,854.4266666666665,3.5647160921129584,1.2756172709712614,89.6542222222222,1.7823580460564818,0.6378086354856317,0.9135995529395282,0.02755229590190171,0.009859462464665425,0.9810965204102556,0.009662509255294082,0.0034576845304016487,0.9987410315639697,0.0011997755419934678,0.0004293341638179686
Single Domain,25,30,0.3720814814814814,0.04705698775415786,0.016839126805048465,1.2329099215743042,0.17037663408606785,0.060968495497018715,3.6614810670877347,0.32677850180491047,0.11693618507424416,40.96314283966617,10.237815613142342,3.6635552665858073,723.3588142740961,209.9632868804427,75.13439726860001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0016303634926400298,1.6407653420969463e-05,5.871403371002631e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.09415083086940298,0.008262913486892308,0.0029568456168899285,0.3600855565848249,0.05679878797371846,0.020325185242610382,0.5782998455724613,0.06614439656482667,0.023669468326733552
Independent Agents,25,30,0.7372074074074073,0.025228976652824666,0.009028073348808525,0.2784667123063418,0.009541539019133474,0.0034143958873421453,0.4260349110419243,0.02938481277827346,0.010515220207061264,4.278369974121364,0.5897753039866118,0.21104838206391677,106.27843988028637,13.358941531249892,4.780435832424671,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0077449032967840635,4.187305055139273e-05,1.4984078701187263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08972058938974867,0.013583433547564706,0.00486076926875076,0.8404240961161441,0.045425707190599594,0.01625538055235847,0.9997518977546243,0.0006095811749008307,0.00021813582194747547
One-Shot LLM,25,30,0.6376296296296295,0.03897474194188641,0.01394693228521574,1.531670826365155,0.22995186697923942,0.08228721879417175,11.710376937752374,1.1759805093893787,0.42081922075693257,6.994573276103264,1.122701275483443,0.4017534917624409,153.74472349995588,25.10057668307751,8.98212600973037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018604731973674512,6.163827397024898e-05,2.2056973065336735e-05,760.0,0.0,0.0,135.0,0.0,0.0,0.29546852534699375,0.056349984607699646,0.02016458302067458,0.683023466359094,0.041094297846276155,0.01470540562462439,0.7916580532785997,0.034680390193795374,0.012410218247985487
AAI-CDOS,50,30,0.8921592592592593,0.03097715665496103,0.011085033145298373,0.24634247528105802,0.020749817527654275,0.007425226841021383,0.47088874450080465,0.04904307702218051,0.017549839722014217,1.692343283527581,0.5056671184179706,0.18095065439949026,27.239683356427314,22.993224748717175,8.228019804910188,1.2172851851851851,0.0619905078173903,0.022183018328752874,0.2172851851851852,0.06199050781739028,0.022183018328752864,6.978585185185186,0.2789763290948901,0.09983039725743398,0.011422386117003537,0.0004475548786752185,0.0001601554564776446,882.4975925925926,10.53838632895636,3.771113115887991,103.46924074074074,5.2691931644781755,1.8855565579439941,0.708947769668376,0.06202540049181558,0.022195504511937487,0.9025129551947815,0.036837511037488564,0.013182134028284307,0.9976651732348005,0.0011563409200657279,0.0004137912839763678
Single Domain,50,30,0.2531148148148148,0.028427025367600074,0.010172480383916015,2.3979625511786846,0.275796432419647,0.09869248584625065,7.0898853295178785,0.6694389243261457,0.23955564248727693,83.86278793297352,13.843077326948785,4.9536816019420025,1484.0400834232978,258.5687630334754,92.5276435306997,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00164636322469618,1.2202158861386808e-05,4.366486470313497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.02204115290562348,0.0028336869569769657,0.0010140218545997108,0.2412115633718896,0.02465348803209874,0.00882213739069123,0.42756279016529,0.056936398374272376,0.020374428492023772
Independent Agents,50,30,0.5721222222222223,0.03729394188497256,0.013345465709408321,0.3606048676549445,0.01786053476232825,0.006391310281909137,0.5747060039085006,0.04036981930085163,0.01444615430667613,9.660495916334984,1.548228467492149,0.5540264418005078,203.29016828039565,38.72778939281061,13.858561450464423,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.00778255081839026,7.212314424651008e-05,2.5808935707714837e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03836129942391398,0.006923035401347963,0.0024773764017404056,0.5309608640989268,0.07178346832387904,0.025687384239871453,0.997673231765494,0.0010059527535604188,0.0003599755697408581
One-Shot LLM,50,30,0.3417222222222221,0.0500979096712327,0.017927306737716375,6.765809021003718,0.9783021059409986,0.3500809125660799,25.202002406380295,0.8641992962381722,0.30924974650342774,26.906998931053128,7.065309946834953,2.528288693982791,533.4262951730974,139.02217211529705,49.74844537846374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018664976324955024,4.645032390786717e-05,1.6622034935736776e-05,760.0,0.0,0.0,135.0,0.0,0.0,0.08793793627510232,0.022728802086755703,0.00813339737055124,0.35478701125631046,0.06025188484193356,0.021560860087285326,0.4896889788102703,0.05411168394998219,0.01936361741701039
