event_id,vehicles,seed,task_class,feasible_candidates,candidate_count,oran_final_agreement,compute_final_agreement,cn_final_agreement,all_domain_proposals_align_final,aai_oneshot_same_plan,rounds,rejections,fallback,verifier_accepted,aai_api_calls,aai_input_tokens,aai_output_tokens,aai_sum_api_latency_ms,aai_event_wall_ms
n10_s2026_e1,10,2026,routine,8,8,True,True,True,True,True,1,0,False,True,4,1777,90,10146.793212275952,4778.137
n10_s2026_e2,10,2026,cooperative,3,8,True,False,True,False,True,1,0,False,True,4,1762,88,5247.400229331106,3326.411
n10_s2026_e3,10,2026,safety,4,8,True,True,True,True,True,1,0,False,True,4,1773,89,7138.0010871216655,5019.912
n10_s2026_e4,10,2026,safety,4,8,True,True,True,True,True,1,0,False,True,4,1762,89,7471.520520746708,5213.29
n10_s2026_e5,10,2026,cooperative,4,8,True,False,True,False,True,1,0,False,True,4,1774,91,4792.939197737724,2719.667
n10_s2027_e1,10,2027,cooperative,4,8,True,True,True,True,True,1,0,False,True,4,1773,88,4268.893187865615,2175.389
n10_s2027_e2,10,2027,safety,4,8,True,False,True,False,True,1,0,False,True,4,1774,90,5008.275986649096,3052.169
n10_s2027_e3,10,2027,safety,1,8,True,True,True,True,True,1,0,False,True,4,1765,89,7379.930526483804,5243.583
n10_s2027_e4,10,2027,cooperative,4,8,True,True,True,True,True,1,0,False,True,4,1774,89,4344.042518176138,2337.777
n10_s2027_e5,10,2027,routine,5,8,True,True,True,True,True,1,0,False,True,4,1775,89,3908.3021162077785,2092.215
n25_s2026_e1,25,2026,cooperative,7,8,False,False,True,False,True,1,0,False,True,4,1771,90,3990.2614415623248,2087.512
n25_s2026_e2,25,2026,safety,3,8,True,True,True,True,True,1,0,False,True,4,1771,89,10305.607362650335,8218.696
n25_s2026_e3,25,2026,safety,1,8,True,True,True,True,True,1,0,False,True,4,1765,88,9629.289552103728,7405.431
n25_s2026_e4,25,2026,routine,8,8,True,False,True,False,True,1,0,False,True,4,1772,88,5061.796052381396,2971.512
n25_s2026_e5,25,2026,cooperative,3,8,True,True,True,True,True,1,0,False,True,4,1771,91,4690.202950499952,2723.66
n25_s2027_e1,25,2027,routine,5,8,True,True,True,True,True,1,0,False,True,4,1778,91,4264.828493818641,2228.328
n25_s2027_e2,25,2027,cooperative,6,8,False,True,True,False,True,1,0,False,True,4,1771,90,4620.403477456421,2475.621
n25_s2027_e3,25,2027,safety,1,8,True,False,True,False,True,1,0,False,True,4,1752,88,4373.3561327680945,2403.087
n25_s2027_e4,25,2027,safety,3,8,True,True,True,True,True,1,0,False,True,4,1771,89,4278.0064679682255,2355.935
n25_s2027_e5,25,2027,cooperative,4,8,True,False,True,False,True,1,0,False,True,4,1773,90,4232.998415827751,2348.98
n50_s2026_e1,50,2026,cooperative,0,8,True,False,True,False,True,3,3,True,False,6,3318,148,7474.057022482157,5577.277
n50_s2026_e2,50,2026,safety,4,8,True,True,True,True,True,1,0,False,True,4,1763,89,4286.6157167591155,2412.429
n50_s2026_e3,50,2026,cooperative,4,8,True,True,True,True,True,1,0,False,True,4,1775,91,6044.1925139166415,3983.495
n50_s2026_e4,50,2026,routine,8,8,True,True,True,True,True,1,0,False,True,4,1772,89,4352.471774443984,2410.269
n50_s2026_e5,50,2026,safety,0,8,True,True,True,True,True,3,3,True,False,6,3317,144,7013.15982080996,4980.357
n50_s2027_e1,50,2027,safety,2,8,True,True,True,True,True,1,0,False,True,4,1767,91,4576.659876387566,2436.071
n50_s2027_e2,50,2027,safety,0,8,True,True,False,False,True,3,3,True,False,6,3325,149,6373.605166561902,4411.464
n50_s2027_e3,50,2027,cooperative,4,8,True,False,True,False,True,1,0,False,True,4,1774,90,4450.440584216267,2789.853
n50_s2027_e4,50,2027,routine,5,8,False,True,True,False,True,1,0,False,True,4,1777,90,3821.011744905263,1962.479
n50_s2027_e5,50,2027,cooperative,1,8,True,False,True,False,True,1,0,False,True,4,1770,90,4532.041501253843,2535.102
