event_id,vehicles,seed,frame,task_class,deadline_ms,aai_plan_id,aai_access,aai_compute,aai_estimated_latency_ms,aai_deadline_met,aai_verifier_accepted,aai_rounds,aai_rejections,aai_fallback,aai_event_wall_ms,oneshot_plan_id,oneshot_access,oneshot_compute,oneshot_estimated_latency_ms,oneshot_deadline_met,oneshot_wall_ms,aai_api_calls,aai_input_tokens,aai_output_tokens,aai_sum_api_latency_ms,oneshot_api_calls,oneshot_input_tokens,oneshot_output_tokens,oneshot_sum_api_latency_ms
n10_s2026_e1,10,2026,61,routine,1000.0,p0,ground,ground1,139.198,True,True,1,0,False,4778.137,p0,ground,ground1,139.198,True,2677.187,4,1777,90,10146.793,1,655,28,2676.91
n10_s2026_e2,10,2026,75,cooperative,350.0,p7,leo,sat0,137.024,True,True,1,0,False,3326.411,p7,leo,sat0,137.024,True,1113.638,4,1762,88,5247.4,1,656,28,1113.4
n10_s2026_e3,10,2026,109,safety,150.0,p4,uav,ground0,36.862,True,True,1,0,False,5019.912,p4,uav,ground0,36.862,True,1122.457,4,1773,89,7138.001,1,661,28,1122.214
n10_s2026_e4,10,2026,112,safety,150.0,p4,uav,ground0,30.907,True,True,1,0,False,5213.29,p4,uav,ground0,30.907,True,1098.617,4,1762,89,7471.521,1,655,28,1098.375
n10_s2026_e5,10,2026,169,cooperative,350.0,p6,uav,sat0,75.381,True,True,1,0,False,2719.667,p6,uav,sat0,75.381,True,1281.267,4,1774,91,4792.939,1,661,28,1281.019
n10_s2027_e1,10,2027,19,cooperative,350.0,p7,leo,sat0,150.838,True,True,1,0,False,2175.389,p7,leo,sat0,150.838,True,1000.522,4,1773,88,4268.893,1,661,28,1000.257
n10_s2027_e2,10,2027,91,safety,150.0,p7,leo,sat0,97.973,True,True,1,0,False,3052.169,p7,leo,sat0,97.973,True,1535.919,4,1774,90,5008.276,1,661,28,1535.672
n10_s2027_e3,10,2027,139,safety,150.0,p4,uav,ground0,139.426,True,True,1,0,False,5243.583,p4,uav,ground0,139.426,True,923.445,4,1765,89,7379.931,1,661,28,923.18
n10_s2027_e4,10,2027,145,cooperative,350.0,p4,uav,ground0,50.163,True,True,1,0,False,2337.777,p4,uav,ground0,50.163,True,2324.627,4,1774,89,4344.043,1,661,28,2324.373
n10_s2027_e5,10,2027,177,routine,1000.0,p6,uav,sat0,94.337,True,True,1,0,False,2092.215,p6,uav,sat0,94.337,True,1085.993,4,1775,89,3908.302,1,661,28,1085.749
n25_s2026_e1,25,2026,36,cooperative,350.0,p7,leo,sat0,168.684,True,True,1,0,False,2087.512,p7,leo,sat0,168.684,True,1091.733,4,1771,90,3990.261,1,655,28,1091.493
n25_s2026_e2,25,2026,93,safety,150.0,p5,uav,ground1,41.325,True,True,1,0,False,8218.696,p5,uav,ground1,41.325,True,1142.506,4,1771,89,10305.607,1,661,28,1142.263
n25_s2026_e3,25,2026,124,safety,150.0,p7,leo,sat0,108.488,True,True,1,0,False,7405.431,p7,leo,sat0,108.488,True,1253.01,4,1765,88,9629.29,1,662,28,1252.767
n25_s2026_e4,25,2026,132,routine,1000.0,p7,leo,sat0,171.739,True,True,1,0,False,2971.512,p7,leo,sat0,171.739,True,1356.224,4,1772,88,5061.796,1,655,28,1355.989
n25_s2026_e5,25,2026,177,cooperative,350.0,p5,uav,ground1,99.031,True,True,1,0,False,2723.66,p5,uav,ground1,99.031,True,1127.544,4,1771,91,4690.203,1,661,28,1127.311
n25_s2027_e1,25,2027,12,routine,1000.0,p5,uav,ground1,142.488,True,True,1,0,False,2228.328,p5,uav,ground1,142.488,True,1166.197,4,1778,91,4264.828,1,661,28,1165.935
n25_s2027_e2,25,2027,23,cooperative,350.0,p4,uav,ground0,247.41,True,True,1,0,False,2475.621,p4,uav,ground0,247.41,True,1200.959,4,1771,90,4620.403,1,655,28,1200.715
n25_s2027_e3,25,2027,170,safety,150.0,p7,leo,sat0,114.887,True,True,1,0,False,2403.087,p7,leo,sat0,114.887,True,982.293,4,1752,88,4373.356,1,655,28,982.052
n25_s2027_e4,25,2027,175,safety,150.0,p5,uav,ground1,47.024,True,True,1,0,False,2355.935,p5,uav,ground1,47.024,True,2598.983,4,1771,89,4278.006,1,661,28,2598.735
n25_s2027_e5,25,2027,176,cooperative,350.0,p7,leo,sat0,190.985,True,True,1,0,False,2348.98,p7,leo,sat0,190.985,True,1375.116,4,1773,90,4232.998,1,661,28,1374.872
n50_s2026_e1,50,2026,9,cooperative,350.0,p7,leo,sat0,367.824,False,False,3,3,True,5577.277,p7,leo,sat0,367.824,False,973.915,6,3318,148,7474.057,1,661,28,973.655
n50_s2026_e2,50,2026,46,safety,150.0,p5,uav,ground1,39.278,True,True,1,0,False,2412.429,p5,uav,ground1,39.278,True,1604.615,4,1763,89,4286.616,1,655,28,1604.373
n50_s2026_e3,50,2026,76,cooperative,350.0,p4,uav,ground0,145.72,True,True,1,0,False,3983.495,p4,uav,ground0,145.72,True,1114.938,4,1775,91,6044.193,1,661,28,1114.69
n50_s2026_e4,50,2026,80,routine,1000.0,p4,uav,ground0,178.511,True,True,1,0,False,2410.269,p4,uav,ground0,178.511,True,1088.189,4,1772,89,4352.472,1,655,28,1087.945
n50_s2026_e5,50,2026,83,safety,150.0,p7,leo,sat0,217.151,False,False,3,3,True,4980.357,p7,leo,sat0,217.151,False,1380.368,6,3317,144,7013.16,1,662,28,1380.121
n50_s2027_e1,50,2027,72,safety,150.0,p5,uav,ground1,101.145,True,True,1,0,False,2436.071,p5,uav,ground1,101.145,True,1282.438,4,1767,91,4576.66,1,661,28,1282.172
n50_s2027_e2,50,2027,144,safety,150.0,p4,uav,ground0,220.874,False,False,3,3,True,4411.464,p4,uav,ground0,220.874,False,1157.047,6,3325,149,6373.605,1,662,28,1156.801
n50_s2027_e3,50,2027,144,cooperative,350.0,p7,leo,sat0,280.699,True,True,1,0,False,2789.853,p7,leo,sat0,280.699,True,1838.442,4,1774,90,4450.441,1,661,28,1838.152
n50_s2027_e4,50,2027,153,routine,1000.0,p4,uav,ground0,312.632,True,True,1,0,False,1962.479,p4,uav,ground0,312.632,True,1405.538,4,1777,90,3821.012,1,661,28,1405.301
n50_s2027_e5,50,2027,173,cooperative,350.0,p7,leo,sat0,303.839,True,True,1,0,False,2535.102,p7,leo,sat0,303.839,True,4688.714,4,1770,90,4532.042,1,665,28,4688.464
