vehicles,scheme,events,deadline_feasibility,mean_e2e_latency_ms,p95_e2e_latency_ms,mean_decision_wall_ms,mean_api_calls,mean_api_input_tokens,mean_api_output_tokens,mean_api_tokens
10,AAI-CDOS,10,1.0,95.2109,145.7026,3595.8550000000005,4.0,1770.9,89.2,1860.1
10,Single Domain,10,0.5,477.54689999999994,802.0433499999999,0.0018473248928785324,0.0,0.0,0.0,0.0
10,Independent Agents,10,0.9,148.4815,206.06279999999995,0.007989117875695229,0.0,0.0,0.0,0.0
10,One-Shot LLM,10,1.0,95.2109,145.7026,1416.3672000000001,1.0,659.3,28.0,687.3
25,AAI-CDOS,10,1.0,133.20610000000002,222.01874999999995,3521.8762,4.0,1769.5,89.4,1858.9
25,Single Domain,10,0.6,448.81139999999994,782.9667499999999,0.0017152167856693268,0.0,0.0,0.0,0.0
25,Independent Agents,10,1.0,179.2123,290.47334999999987,0.007894681766629219,0.0,0.0,0.0,0.0
25,One-Shot LLM,10,1.0,133.20610000000002,222.01874999999995,1329.4565,1.0,658.7,28.0,686.7
50,AAI-CDOS,10,0.7,216.76730000000003,342.98759999999993,3349.8795999999993,4.6,2235.8,107.1,2342.9
50,Single Domain,10,0.4,538.9683,810.6952999999999,0.0017381273210048676,0.0,0.0,0.0,0.0
50,Independent Agents,10,0.6,270.9939,386.7308,0.007897941395640373,0.0,0.0,0.0,0.0
50,One-Shot LLM,10,0.7,216.76730000000003,342.98759999999993,1653.4204000000002,1.0,660.4,28.0,688.4
